category,question,answer
order,i missed the delivery of my order today what should i do,the courier service delivering your order usually tries to deliver on the next business day in case you miss a deliveryyou can check your sms for more details on when the courier service will try to deliver again 
order,will the delivery be tried again if im not able to collect my order the first time,couriers make sure that the delivery is reattempted the next working day if you cant collect your order the first time
order,the delivery of my order is delayed what should i do,on the rare occasion that your order is delayed please check your email  messages for updates a new delivery timeframe will be shared with you and you can also track its status by visiting my orders 
order,what should i do if my order is approved but hasnt been shipped yet,sellers usually ship orders 12 business days before the delivery date so that they reach you on time in case your order hasnt been shipped within this time please contact our customer support so that we can look into it
order,can i take the shipment after opening and checking the contents inside,as per company policy a shipment cant be opened before delivery but you can accept the shipment and get in touch with us later in case you have any concerns
order,how do i know my order has been confirmed,an email  sms will be sent once youve successfully placed your order well also let you know as soon as the seller ships the items to you along with the tracking numbers for your shipments you can track your orders from the my orders section on your flipkart account n 
order,how quickly can i get my order delivered,orders will be delivered by the date you see on the product page for your location 
order,my order has reached the nearest delivery hub but why isnt it out for delivery yet,the courier service delivering your order are responsible for making sure that your order reaches you within the delivery date rest assured youll get an sms once your shipment is out for delivery
order,my order status shows out for delivery but i havent got it yet when will i get it,the courier service will contact you for delivery of your order please check your sms for more details
order,why cant i track my order even though it has been shipped,courier services usually take upto 24 hours to activate tracking for an order once its shipped please check again after the mentioned time frame
order,what should i do if i dont get the invoice for my order,sellers send a hard copy of the invoice in the shipments a soft copy is also emailed to you within 24 hours of delivery in the delivery confirmation email sent to your registered email idyou can also visit my account  my orders page to get invoices for your orders
order,how do i get invoices for my previous orders without having to check my emails,you can easily send invoices to your email id from your flipkart account to do so visit my account  orders choose the order for which youd like the invoice for and click on the email invoice option
order,should i call flipkarts customer care for installation once my product is delivered,to make sure that you have a smooth and hasslefree experience the installation is automatically arranged for your product by the seller within 25 business after the item is delivered you will also get an sms with the exact installation details after delivery
order,will my product be installed by the brand or flipkart if it is installed by flipkart will it affect the warranty of the product,your product will be installed by the brands authorised service partner rest assured the warranty for the product will not be affected when an item is installed by the authorised partners
order,how will my order be delivered,all orders are shipped by sellers through courier services who deliver the packages to your doorstep or the nearest pickup store if the option is selected
order,why is the cash on delivery payment mode not available at my location,availability of the cash on delivery payment mode depends on the courier services delivering to your location please enter your pincode on the product page to check if this payment mode is available at your location courier service providers also have limits on the amount you can pay through cash on delivery based on the destination and your order could have exceeded this limit
order,where can i find the sellers returns policy,you can see the respective sellers returns policy on the product page
order,what does the tag imported beside a product mean,sometimes items have to be sourced by sellers from their international partners such items have the tag imported on the product page and can take at least 10 or more days to be delivered
